generated_case_id,seed_case_id,scenario_type,round_name,ego_speed_kph,merge_time_s,rear_distance_m,rear_speed_kph
CASE_MERGE_001_C035,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,55.0,115.0
CASE_MERGE_001_C036,CASE_MERGE_001,highway_merge,coarse,75.0,2.0,55.0,140.0
CASE_MERGE_001_C037,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,15.0,90.0
CASE_MERGE_001_C038,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,15.0,115.0
CASE_MERGE_001_C039,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,15.0,140.0
CASE_MERGE_001_C040,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,35.0,90.0
CASE_MERGE_001_C041,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,35.0,115.0
CASE_MERGE_001_C042,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,35.0,140.0
CASE_MERGE_001_C043,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,55.0,90.0
CASE_MERGE_001_C044,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,55.0,115.0
CASE_MERGE_001_C045,CASE_MERGE_001,highway_merge,coarse,75.0,3.0,55.0,140.0
CASE_MERGE_001_C046,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,15.0,90.0
CASE_MERGE_001_C047,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,15.0,115.0
CASE_MERGE_001_C048,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,15.0,140.0
CASE_MERGE_001_C049,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,35.0,90.0
CASE_MERGE_001_C050,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,35.0,115.0
CASE_MERGE_001_C051,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,35.0,140.0
CASE_MERGE_001_C052,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,55.0,90.0
CASE_MERGE_001_C053,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,55.0,115.0
CASE_MERGE_001_C054,CASE_MERGE_001,highway_merge,coarse,75.0,4.0,55.0,140.0
CASE_MERGE_001_C055,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,15.0,90.0
CASE_MERGE_001_C056,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,15.0,115.0
CASE_MERGE_001_C057,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,15.0,140.0
CASE_MERGE_001_C058,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,35.0,90.0
CASE_MERGE_001_C059,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,35.0,115.0
CASE_MERGE_001_C060,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,35.0,140.0
CASE_MERGE_001_C061,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,55.0,90.0
CASE_MERGE_001_C062,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,55.0,115.0
CASE_MERGE_001_C063,CASE_MERGE_001,highway_merge,coarse,85.0,2.0,55.0,140.0
CASE_MERGE_001_C064,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,15.0,90.0
CASE_MERGE_001_C065,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,15.0,115.0
CASE_MERGE_001_C066,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,15.0,140.0
CASE_MERGE_001_C067,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,35.0,90.0
CASE_MERGE_001_C068,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,35.0,115.0
CASE_MERGE_001_C069,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,35.0,140.0
CASE_MERGE_001_C070,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,55.0,90.0
CASE_MERGE_001_C071,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,55.0,115.0
CASE_MERGE_001_C072,CASE_MERGE_001,highway_merge,coarse,85.0,3.0,55.0,140.0
CASE_MERGE_001_C073,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,15.0,90.0
CASE_MERGE_001_C074,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,15.0,115.0
CASE_MERGE_001_C075,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,15.0,140.0
CASE_MERGE_001_C076,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,35.0,90.0
CASE_MERGE_001_C077,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,35.0,115.0
CASE_MERGE_001_C078,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,35.0,140.0
CASE_MERGE_001_C079,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,55.0,90.0
CASE_MERGE_001_C080,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,55.0,115.0
CASE_MERGE_001_C081,CASE_MERGE_001,highway_merge,coarse,85.0,4.0,55.0,140.0
